Zone,Calibration,Model,Dataset,Training samples,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE_mean
NO4,cal_2020,Random Forest,rbatheta_events,3556,10991,9.21,90.79,5.4895
NO4,cal_2020,Random Forest,own_events,8758,39953,33.49,66.51,3.8603
NO4,cal_2020,Random Forest,full_dataset,8764,119313,100.0,0.0,3.8422
NO4,cal_2020_2021,Random Forest,rbatheta_events,3556,10991,9.21,90.79,5.4895
NO4,cal_2020_2021,Random Forest,own_events,8469,32829,27.52,72.48,3.9689
NO4,cal_2020_2021,Random Forest,full_dataset,8764,119313,100.0,0.0,3.8422
NO4,cal_2020_2022,Random Forest,rbatheta_events,3556,10991,9.21,90.79,5.4895
NO4,cal_2020_2022,Random Forest,own_events,8375,31964,26.79,73.21,3.9887
NO4,cal_2020_2022,Random Forest,full_dataset,8764,119313,100.0,0.0,3.8422
NO4,cal_2020,XGBoost,rbatheta_events,3556,10991,9.21,90.79,8.0552
NO4,cal_2020,XGBoost,own_events,8758,39953,33.49,66.51,3.726
NO4,cal_2020,XGBoost,full_dataset,8764,119313,100.0,0.0,3.7107
NO4,cal_2020_2021,XGBoost,rbatheta_events,3556,10991,9.21,90.79,8.0552
NO4,cal_2020_2021,XGBoost,own_events,8469,32829,27.52,72.48,3.6753
NO4,cal_2020_2021,XGBoost,full_dataset,8764,119313,100.0,0.0,3.7107
NO4,cal_2020_2022,XGBoost,rbatheta_events,3556,10991,9.21,90.79,8.0552
NO4,cal_2020_2022,XGBoost,own_events,8375,31964,26.79,73.21,3.5241
NO4,cal_2020_2022,XGBoost,full_dataset,8764,119313,100.0,0.0,3.7107
