Zone,Calibration,Calibration period,Test week,Test period,Model,Dataset,Training samples,Test samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,4.980753744945404
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,4.9795703089589844
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,5.004729818898036
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,18.85263140026574
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,16.8010816686931
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,23.624260016125874
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,9.87247988410781
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,10.741971404244818
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,17.814092568432486
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,6.5384779188754925
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,5.875686834121528
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,23.199730359675254
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,29.088343072928982
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,29.091230823224368
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,18.3042824917765
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,2.4498049064821052
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,2.45499836207742
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.5163191538326037
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,3.6661958842790656
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,4.284790376602871
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,3.9559205929966836
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,2.7386692323637094
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,2.6882809742424882
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.695289941546726
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,2.444333267793782
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,2.479028093053284
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.4640558403626183
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,7.15321456722428
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,7.150840504849113
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,20.18149420601895
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,4.0412116841554635
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,4.044449601869302
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,4.140414622258305
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,6.33977152397391
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,6.786272514632547
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,7.893581931815602
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,3.971899347111124
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,3.9669254444654967
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,4.365892997088209
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,3.8111175912869157
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,3.7550796950104703
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,3.837047247563856
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,14.244774813224618
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,14.24256783505263
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,21.28046076335473
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,1.2977719015092657
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,1.3079328497373943
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,1.3727755144791292
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,2.729504032219913
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,2.6532911952265374
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,3.107456949094579
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,1.4062696624128046
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,1.3472275037001709
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,1.4098254013447142
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,1.4794575881508178
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,1.5448519962026508
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,1.5332076396258125
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,13.94812862082327
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,own_events,8375,168,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,13.944143468710786
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,26.030214383472696
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,1.511094363732287
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,own_events,8375,167,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,1.5427669370426216
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.201012158607709
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,2.0290539372425567
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,own_events,8375,167,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,1.9020493202770707
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.573113982874112
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,1.2216690627425575
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,own_events,8375,167,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,1.1989437542117967
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,1.1623847874077693
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,4.280278195730033
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,own_events,8375,167,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,3.9657902870546087
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,9.241838943900927
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,20.36667463172153
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,own_events,8375,167,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357,20.362670872621525
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,32.77152028679108
