Zone,Calibration,Calibration period,Test week,Test period,Model,Dataset,Training samples,Test samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,4.980753744945404
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,own_events,8469,168,4554,5038,4177,2009,17051,32829,27.515023509592417,72.48497649040758,4.979821726874808
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,5.004729818898036
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,18.85263140026574
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,own_events,8469,168,4554,5038,4177,2009,17051,32829,27.515023509592417,72.48497649040758,17.189604745587488
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,23.624260016125874
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,9.872479884107806
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,own_events,8469,168,4554,5038,4177,2009,17051,32829,27.515023509592417,72.48497649040758,10.523900797020682
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,17.814092568432482
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,6.5384779188754925
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,own_events,8469,168,4554,5038,4177,2009,17051,32829,27.515023509592417,72.48497649040758,6.191025259998025
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,23.199730359675254
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,29.088343072928982
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,own_events,8469,168,4554,5038,4177,2009,17051,32829,27.515023509592417,72.48497649040758,29.07491335575997
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,18.3042824917765
