Zone,Calibration,Calibration period,Test week,Test period,Model,Dataset,Training samples,Test samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,48.65268276858836
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.52143365061319
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,12.612695757620042
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,12.509419475996957
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,16.528968689920763
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,21.395502893075896
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,17.389362238093124
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.881002240901
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,13.189580465313936
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,12.272985854829999
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.089646373322166
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,12.101885851287916
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,11.898939840664042
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,47.239374768700316
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,46.73468217738832
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,46.240753156179835
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,8.736257172460164
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,8.818526237811223
