Zone,Calibration,Calibration period,Test week,Test period,Model,Dataset,Training samples,Test samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,7.720399398149944
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,8.07413410341338
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,6.941391881485246
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,23.00570402926978
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,22.969674310360876
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,21.398803529397746
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,11.18265443751278
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,11.209740114524283
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,11.080559531137915
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,16.788929600866673
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,17.102545793508277
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,21.58786988543511
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,10.835167356071388
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,10.82485531238823
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,12.291644974385017
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,9.991604035231642
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,9.758485895298305
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,10.98605384103051
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,48.508829116991954
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,48.54896073507713
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,48.65268276858836
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.52143365061319
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,12.537978485401494
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,12.509419475996957
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,16.528968689920763
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,own_events,8532,168,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406,18.541551021576222
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,17.389362238093124
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.881002240901
