"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|FR","Without Sequence","28.11","",""
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|FR","Without Sequence","28.11","",""
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|FR","Without Sequence","28.11","",""
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|FR","Without Sequence","28.11","",""
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|FR","Without Sequence","30.00","",""
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|FR","Without Sequence","30.00","",""
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|FR","Without Sequence","30.00","",""
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|FR","Without Sequence","30.00","",""
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|FR","Without Sequence","21.50","",""
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|FR","Without Sequence","21.50","",""
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|FR","Without Sequence","21.50","",""
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|FR","Without Sequence","21.50","",""
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|FR","Without Sequence","10.68","",""
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|FR","Without Sequence","10.68","",""
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|FR","Without Sequence","10.68","",""
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|FR","Without Sequence","10.68","",""
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|FR","Without Sequence","20.18","",""
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|FR","Without Sequence","20.18","",""
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|FR","Without Sequence","20.18","",""
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|FR","Without Sequence","20.18","",""
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|FR","Without Sequence","35.72","",""
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|FR","Without Sequence","35.72","",""
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|FR","Without Sequence","35.72","",""
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|FR","Without Sequence","35.72","",""
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|FR","Without Sequence","48.06","",""
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|FR","Without Sequence","48.06","",""
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|FR","Without Sequence","48.06","",""
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|FR","Without Sequence","48.06","",""
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|FR","Without Sequence","50.14","",""
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|FR","Without Sequence","50.14","",""
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|FR","Without Sequence","50.14","",""
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|FR","Without Sequence","50.14","",""
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|FR","Without Sequence","41.50","",""
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|FR","Without Sequence","41.50","",""
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|FR","Without Sequence","41.50","",""
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|FR","Without Sequence","41.50","",""
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|FR","Without Sequence","34.93","",""
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|FR","Without Sequence","34.93","",""
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|FR","Without Sequence","34.93","",""
